time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-07-19T23:49:54.880Z,-6.4939,130.0369,164.95,4.7,mb,,100,1.937,1.35,us,us20002yku,2015-07-20T07:52:38.566Z,"214km NW of Saumlaki, Indonesia",earthquake
2015-07-19T21:08:47.580Z,-31.6921,-71.8994,23.24,4.2,mwr,,191,0.909,0.45,us,us20002yk8,2015-07-20T05:11:27.445Z,"69km W of Illapel, Chile",earthquake
2015-07-19T21:02:41.160Z,-4.4717,125.396,437.48,4.6,mb,,67,5.367,1.12,us,us20002yk7,2015-07-20T05:05:21.352Z,"146km WSW of Leksula, Indonesia",earthquake
2015-07-19T19:06:01.180Z,12.4405,142.9188,55.99,4.7,mb,,90,2.216,0.97,us,us20002yji,2015-07-20T03:08:43.381Z,"210km WSW of Merizo Village, Guam",earthquake
2015-07-19T13:20:41.940Z,22.7403,142.9427,115.37,4.2,mb,,275,4.39,0.38,us,us20002yih,2015-07-19T21:23:23.842Z,"279km SE of Iwo Jima, Japan",earthquake
2015-07-19T11:16:21.920Z,2.7621,-78.8975,12.14,4.9,mb,,81,0.936,0.9,us,us20002yi3,2015-07-19T19:18:52.511Z,"57km WNW of Mosquera, Colombia",earthquake
2015-07-19T07:50:15.750Z,1.0803,122.8314,55.1,4.7,mb,,66,2.049,0.8,us,us20002yhk,2015-07-19T15:52:49.591Z,"48km N of Isimu, Indonesia",earthquake
2015-07-19T07:34:30.920Z,-10.4099,165.4151,10,4.9,mb,,108,5.301,0.77,us,us20002yhj,2015-07-19T15:37:10.493Z,"56km NW of Lata, Solomon Islands",earthquake
2015-07-19T06:34:12.510Z,13.7898,-58.2422,10,4.5,mb,,182,1.432,1.41,us,us20002yh2,2015-07-19T14:36:47.796Z,"151km ENE of Bathsheba, Barbados",earthquake
2015-07-19T05:48:14.800Z,-4.9617,153.1252,47.82,4.7,mb,,104,1.226,0.8,us,us20002ygv,2015-07-19T13:50:57.664Z,"55km S of Taron, Papua New Guinea",earthquake
2015-07-19T02:55:00.590Z,2.8703,125.1267,85.75,4.6,mb,,82,3.058,0.82,us,us20002ygm,2015-07-19T10:57:34.171Z,"153km N of Laikit, Laikit II (Dimembe), Indonesia",earthquake
2015-07-19T01:26:13.580Z,37.9373,72.475,143.44,4.3,mb,,99,0.763,0.87,us,us20002ygf,2015-07-19T09:28:46.163Z,"92km ENE of Shughnon, Tajikistan",earthquake
2015-07-18T23:48:08.860Z,30.4233,79.1152,10,4.4,mb,,97,9.407,0.51,us,us20002ygc,2015-07-19T07:50:42.482Z,"20km NE of Rudraprayag, India",earthquake
2015-07-18T23:42:59.330Z,-18.0233,-178.3016,629.16,4.3,mb,,122,3.482,0.72,us,us20002ygb,2015-07-19T07:45:33.895Z,"293km N of Ndoi Island, Fiji",earthquake
2015-07-18T20:18:03.000Z,55.3256,-155.9556,32,4,ml,,,,0.92,ak,ak11650157,2015-07-19T04:21:02.927Z,"43km SW of Chirikof Island, Alaska",earthquake
2015-07-18T17:13:22.080Z,31.0117,131.4675,36.26,4.7,mwr,,47,1,1.09,us,us20002yec,2015-07-19T01:15:58.939Z,"54km SSE of Kushima, Japan",earthquake
2015-07-18T17:04:28.550Z,-10.4765,165.406,44.23,4.8,mb,,50,5.241,1.06,us,us20002yee,2015-07-19T01:07:13.330Z,"53km WNW of Lata, Solomon Islands",earthquake
2015-07-18T15:46:42.960Z,18.7458,121.0641,24.47,5.3,mb,,83,1.321,1.06,us,us20002ye0,2015-07-18T16:32:48.847Z,"15km N of Claveria, Philippines",earthquake
2015-07-18T15:41:45.860Z,-10.4333,164.8265,10,4.8,mb,,99,4.907,1.01,us,us20002ye1,2015-07-18T23:44:25.236Z,"114km WNW of Lata, Solomon Islands",earthquake
2015-07-18T13:46:11.960Z,-10.557,165.4066,10,4.7,mb,,89,5.166,1.31,us,us20002yd6,2015-07-18T21:49:05.210Z,"49km WNW of Lata, Solomon Islands",earthquake
2015-07-18T13:20:28.560Z,51.5507,-176.7526,51.23,5.1,mb,,136,0.334,1.1,us,us20002ycy,2015-07-18T21:23:00.922Z,"37km S of Adak, Alaska",earthquake
2015-07-18T10:42:05.630Z,-15.0457,-175.3249,297.54,4.6,mb,,69,3.617,1.32,us,us20002yce,2015-07-18T18:45:05.815Z,"196km WNW of Hihifo, Tonga",earthquake
2015-07-18T09:28:07.420Z,32.0879,131.7914,55.45,4.2,mb,,85,1.277,0.82,us,us20002yc8,2015-07-18T17:30:41.854Z,"27km E of Takanabe, Japan",earthquake
2015-07-18T09:22:32.380Z,-10.6776,164.8272,10,5,mb,,66,5.275,0.98,us,us20002yc7,2015-07-18T17:25:06.371Z,"110km W of Lata, Solomon Islands",earthquake
2015-07-18T07:53:30.570Z,13.3395,-90.9469,10,4.6,mb,,123,3.143,1.13,us,us20002ybs,2015-07-18T08:16:33.684Z,"66km SSW of Puerto San Jose, Guatemala",earthquake
2015-07-18T05:41:26.720Z,30.363,94.8219,10,5.1,mb,,49,5.45,0.77,us,us20002ybg,2015-07-18T13:44:08.321Z,"59km S of Domartang, China",earthquake
2015-07-18T05:23:05.510Z,72.5067,3.2343,10,4.9,mb,,64,6.781,1.07,us,us20002ybb,2015-07-18T13:25:48.211Z,"Norwegian Sea",earthquake
2015-07-18T04:30:06.070Z,-10.3445,165.0896,10,5.1,mb,,72,5.145,1,us,us20002yb6,2015-07-18T12:32:35.310Z,"91km WNW of Lata, Solomon Islands",earthquake
2015-07-18T03:32:35.800Z,-10.3066,165.054,10,4.9,mb,,73,5.105,0.88,us,us20002yay,2015-07-18T11:35:03.351Z,"96km WNW of Lata, Solomon Islands",earthquake
2015-07-18T02:27:33.570Z,-10.4436,165.1715,10,7,mww,,26,5.242,1.24,us,us20002yaw,2015-07-18T16:56:34.000Z,"78km WNW of Lata, Solomon Islands",earthquake
2015-07-17T23:49:03.160Z,-13.5934,166.8053,70.94,5.1,mb,,63,1.882,0.72,us,us20002ya5,2015-07-18T07:51:37.306Z,"86km WNW of Sola, Vanuatu",earthquake
2015-07-17T22:26:02.700Z,-19.1552,-175.1029,187.87,4.7,mb,,79,6.645,1.18,us,us20002y9d,2015-07-18T06:28:30.952Z,"106km NW of Pangai, Tonga",earthquake
2015-07-17T19:51:18.350Z,36.8286,69.2462,13.66,4.1,mwr,,70,1.105,1.15,us,us20002y7r,2015-07-18T20:16:50.291Z,"19km NE of Khanabad, Afghanistan",earthquake
2015-07-17T19:39:44.170Z,-5.521,152.0534,37.98,5.2,mb,,19,1.325,0.86,us,us20002y7m,2015-07-18T18:44:57.630Z,"131km S of Kokopo, Papua New Guinea",earthquake
2015-07-17T19:36:51.660Z,36.9178,69.2709,7.85,4.1,mwr,,51,1.065,1.59,us,us20002y7i,2015-07-18T18:35:48.619Z,"25km SSE of Dasht-e Archi, Afghanistan",earthquake
2015-07-17T18:49:53.790Z,-18.1108,-178.1969,536.7,5.8,mww,,13,3.588,1.29,us,us20002y6h,2015-07-18T16:38:21.453Z,"286km N of Ndoi Island, Fiji",earthquake
2015-07-17T18:06:34.280Z,13.9318,-58.9646,6.79,4.6,mb,,147,0.973,1.2,us,us20002y64,2015-07-18T21:40:22.515Z,"99km NE of Bathsheba, Barbados",earthquake
2015-07-17T17:47:12.360Z,9.1326,126.5168,61.24,4.8,mb,,94,2.25,0.75,us,us20002y60,2015-07-18T14:21:37.000Z,"31km NE of Bayabas, Philippines",earthquake
2015-07-17T14:20:06.120Z,9.0211,126.6921,79.12,4.8,mb,,121,2.23,0.85,us,us20002y58,2015-07-17T22:22:34.538Z,"44km ENE of Cagwait, Philippines",earthquake
2015-07-17T12:23:06.720Z,19.4385,-73.7295,10,4.3,mb,,30,1.389,1.48,us,us20002y4l,2015-07-17T20:25:44.769Z,"50km SW of Bombardopolis, Haiti",earthquake
2015-07-17T12:04:54.190Z,-35.5242,-73.157,11.24,4.3,mwr,,149,1.127,0.65,us,us20002y4h,2015-07-17T20:07:24.258Z,"70km WSW of Constitucion, Chile",earthquake
2015-07-17T11:56:19.780Z,-15.0116,-71.9437,135.75,4.4,mb,,123,3.676,1.37,us,us20002y4g,2015-07-17T19:58:59.457Z,"51km ENE of Orcopampa, Peru",earthquake
2015-07-17T11:11:22.480Z,-35.5097,-73.1865,10,5.4,mb,,132,1.142,0.75,us,us20002y48,2015-07-17T16:40:15.000Z,"72km WSW of Constitucion, Chile",earthquake
2015-07-17T11:01:15.430Z,13.4977,-91.9522,45.73,4.9,mb,,152,1.051,1.12,us,us20002y46,2015-07-17T19:03:52.116Z,"88km S of Champerico, Guatemala",earthquake
2015-07-17T10:30:35.890Z,21.4489,144.1512,114.7,4.6,mb,,122,5.9,0.9,us,us20002y42,2015-07-17T18:37:22.043Z,"127km NW of Farallon de Pajaros, Northern Mariana Islands",earthquake
